time,station,rr,tl,p,so_h,ff,substation
2016-06-01T00:00+00:00,1,0.1,11.0,924.1,0.0,0.6,10200
2016-06-01T00:00+00:00,15,0.8,13.2,963.6,0.0,0.5,11104
2016-06-01T00:00+00:00,30,0.0,13.1,968.1,0.0,1.2,16412
2016-06-01T00:00+00:00,39,0.0,12.2,943.7,0.0,1.7,11803
2016-06-01T00:00+00:00,48,0.0,12.7,960.8,0.0,0.4,20212
2016-06-01T00:00+00:00,56,0.0,13.8,981.5,0.0,0.8,3202
2016-06-01T00:00+00:00,93,0.0,13.8,980.7,0.0,3.3,5609
2016-06-01T00:00+00:00,105,0.0,15.1,987.3,0.0,2.4,5904
2016-06-01T00:00+00:00,112,0.0,14.0,979.0,0.0,0.8,7604
2016-06-01T00:00+00:00,145,0.2,12.8,964.1,0.0,0.0,6305
2016-06-01T00:00+00:00,5925,0.0,16.6,991.0,0.0,1.6,
2016-06-01T00:00+00:00,12322,0.0,11.2,,0.0,0.5,
2016-06-01T01:00+00:00,1,0.2,10.7,923.7,0.0,0.2,10200
2016-06-01T01:00+00:00,15,0.5,13.0,963.6,0.0,0.5,11104
2016-06-01T01:00+00:00,30,0.0,12.7,967.8,0.0,1.1,16412
2016-06-01T01:00+00:00,39,0.0,12.0,943.6,0.0,2.2,11803
2016-06-01T01:00+00:00,48,0.0,12.3,960.4,0.0,0.6,20212
2016-06-01T01:00+00:00,56,0.1,13.8,981.4,0.0,0.7,3202
2016-06-01T01:00+00:00,93,0.0,13.7,980.3,0.0,3.0,5609
2016-06-01T01:00+00:00,105,0.0,15.5,987.2,0.0,2.4,5904
2016-06-01T01:00+00:00,112,0.1,13.4,978.8,0.0,1.4,7604
2016-06-01T01:00+00:00,145,2.3,12.7,964.2,0.0,0.4,6305
2016-06-01T01:00+00:00,5925,0.0,16.5,991.0,0.0,2.0,
2016-06-01T01:00+00:00,12322,0.0,11.2,,0.0,0.1,
2016-06-01T02:00+00:00,1,0.0,10.5,923.3,0.0,0.2,10200
2016-06-01T02:00+00:00,15,0.7,12.9,963.4,0.0,0.6,11104
2016-06-01T02:00+00:00,30,0.0,11.9,967.8,0.0,1.5,16412
2016-06-01T02:00+00:00,39,0.3,11.7,943.7,0.0,1.3,11803
2016-06-01T02:00+00:00,48,0.0,11.8,960.3,0.0,0.4,20212
2016-06-01T02:00+00:00,56,0.0,13.7,981.0,0.0,0.8,3202
2016-06-01T02:00+00:00,93,0.0,13.3,980.0,0.0,3.2,5609
2016-06-01T02:00+00:00,105,0.0,15.4,986.8,0.0,2.5,5904
2016-06-01T02:00+00:00,112,0.0,12.8,978.4,0.0,1.6,7604
2016-06-01T02:00+00:00,145,5.6,12.5,964.1,0.0,0.2,6305
2016-06-01T02:00+00:00,5925,0.0,16.5,990.4,0.0,3.3,
2016-06-01T02:00+00:00,12322,0.0,11.3,,0.0,0.4,
2016-06-01T03:00+00:00,1,0.0,10.4,923.3,0.0,0.4,10200
2016-06-01T03:00+00:00,15,1.7,12.5,963.4,0.0,0.6,11104
2016-06-01T03:00+00:00,30,0.0,11.4,967.5,0.0,1.3,16412
2016-06-01T03:00+00:00,39,0.0,11.6,943.8,0.0,1.0,11803
2016-06-01T03:00+00:00,48,0.0,11.9,959.8,0.0,0.7,20212
2016-06-01T03:00+00:00,56,0.0,13.7,980.8,0.0,1.1,3202
2016-06-01T03:00+00:00,93,0.0,13.2,979.9,0.0,3.4,5609
2016-06-01T03:00+00:00,105,0.3,14.6,986.8,0.0,2.0,5904
2016-06-01T03:00+00:00,112,0.0,11.7,978.4,0.0,0.9,7604
2016-06-01T03:00+00:00,145,4.9,12.2,963.6,0.0,0.8,6305
2016-06-01T03:00+00:00,5925,0.0,16.3,990.5,0.0,1.4,
2016-06-01T03:00+00:00,12322,2.1,10.9,,0.0,1.0,
2016-06-01T04:00+00:00,1,0.1,10.7,923.4,0.0,0.3,10200
2016-06-01T04:00+00:00,15,0.2,12.4,963.4,0.0,0.5,11104
2016-06-01T04:00+00:00,30,0.0,11.2,967.8,0.1,1.4,16412
2016-06-01T04:00+00:00,39,0.7,11.3,944.2,0.0,0.9,11803
