time,station,rr,tl,p,so_h,ff,substation
2017-02-01T00:00+00:00,1,0.0,-1.7,925.8,0.0,0.1,10200
2017-02-01T00:00+00:00,15,0.9,4.7,965.8,0.0,2.9,11104
2017-02-01T00:00+00:00,30,0.0,-4.0,973.4,0.0,0.3,16412
2017-02-01T00:00+00:00,39,0.0,2.3,945.6,0.0,0.1,11803
2017-02-01T00:00+00:00,48,0.5,0.1,964.3,0.0,0.1,20212
2017-02-01T00:00+00:00,56,0.0,-1.4,987.8,0.0,0.2,3202
2017-02-01T00:00+00:00,93,0.8,-4.1,987.4,0.0,1.4,5609
2017-02-01T00:00+00:00,105,0.1,-3.6,994.9,0.0,2.4,5904
2017-02-01T00:00+00:00,112,0.0,-5.9,985.9,0.0,1.2,7604
2017-02-01T00:00+00:00,145,0.3,1.4,968.0,0.0,0.4,6305
2017-02-01T00:00+00:00,5925,0.0,-3.0,998.8,0.0,2.2,
2017-02-01T00:00+00:00,12322,0.7,0.5,,0.0,0.0,
2017-02-01T01:00+00:00,1,0.0,-1.4,925.8,0.0,0.4,10200
2017-02-01T01:00+00:00,15,0.2,4.8,965.7,0.0,2.3,11104
2017-02-01T01:00+00:00,30,0.0,-4.0,973.5,0.0,0.7,16412
2017-02-01T01:00+00:00,39,0.1,2.1,945.9,0.0,1.2,11803
2017-02-01T01:00+00:00,48,0.0,0.1,964.6,0.0,0.0,20212
2017-02-01T01:00+00:00,56,0.0,-1.7,988.0,0.0,1.0,3202
2017-02-01T01:00+00:00,93,2.4,-4.1,988.1,0.0,1.0,5609
2017-02-01T01:00+00:00,105,0.1,-3.4,995.0,0.0,1.8,5904
2017-02-01T01:00+00:00,112,0.0,-5.5,986.3,0.0,0.9,7604
2017-02-01T01:00+00:00,145,0.2,1.4,968.4,0.0,0.1,6305
2017-02-01T01:00+00:00,5925,0.0,-3.0,999.0,0.0,1.5,
2017-02-01T01:00+00:00,12322,0.6,0.5,,0.0,0.0,
2017-02-01T02:00+00:00,1,0.0,-1.5,926.3,0.0,0.2,10200
2017-02-01T02:00+00:00,15,0.3,4.7,965.8,0.0,2.4,11104
2017-02-01T02:00+00:00,30,0.0,-3.9,973.5,0.0,0.5,16412
2017-02-01T02:00+00:00,39,0.0,2.1,946.0,0.0,1.8,11803
2017-02-01T02:00+00:00,48,0.0,0.0,964.5,0.0,0.3,20212
2017-02-01T02:00+00:00,56,0.0,-1.9,988.5,0.0,0.9,3202
2017-02-01T02:00+00:00,93,0.6,-4.2,988.4,0.0,1.1,5609
2017-02-01T02:00+00:00,105,3.0,-3.5,995.5,0.0,1.8,5904
2017-02-01T02:00+00:00,112,0.0,-5.0,986.8,0.0,2.2,7604
2017-02-01T02:00+00:00,145,0.5,1.3,968.8,0.0,0.5,6305
2017-02-01T02:00+00:00,5925,2.5,-3.2,999.5,0.0,1.9,
2017-02-01T02:00+00:00,12322,0.0,0.5,,0.0,0.1,
2017-02-01T03:00+00:00,1,0.0,-1.4,926.4,0.0,0.3,10200
2017-02-01T03:00+00:00,15,0.2,4.6,965.6,0.0,2.2,11104
2017-02-01T03:00+00:00,30,0.0,-3.8,973.7,0.0,0.5,16412
2017-02-01T03:00+00:00,39,0.0,1.9,946.0,0.0,1.3,11803
2017-02-01T03:00+00:00,48,0.0,0.0,964.4,0.0,0.1,20212
2017-02-01T03:00+00:00,56,0.0,-1.9,988.8,0.0,0.6,3202
2017-02-01T03:00+00:00,93,0.0,-4.0,988.6,0.0,0.9,5609
2017-02-01T03:00+00:00,105,3.3,-3.2,995.6,0.0,1.4,5904
2017-02-01T03:00+00:00,112,1.5,-4.8,986.9,0.0,0.7,7604
2017-02-01T03:00+00:00,145,0.4,0.7,968.9,0.0,0.2,6305
2017-02-01T03:00+00:00,5925,4.1,-2.9,999.5,0.0,1.2,
2017-02-01T03:00+00:00,12322,0.2,0.5,,0.0,0.2,
2017-02-01T04:00+00:00,1,0.0,-1.1,926.8,0.0,0.2,10200
2017-02-01T04:00+00:00,15,0.1,4.7,965.6,0.0,1.6,11104
2017-02-01T04:00+00:00,30,0.0,-3.7,974.2,0.0,0.6,16412
2017-02-01T04:00+00:00,39,0.0,1.8,946.3,0.0,1.9,11803
2017-02-01T04:00+00:00,48,0.0,-0.1,964.7,0.0,0.3,20212
2017-02-01T04:00+00:00,56,0.0,-2.0,988.9,0.0,0.6,3202
2017-02-01T04:00+00:00,93,0.0,-4.0,988.9,0.0,0.5,5609
2017-02-01T04:00+00:00,105,0.5,-2.9,995.8,0.0,0.8,5904
2017-02-01T04:00+00:00,112,0.7,-4.8,987.3,0.0,1.3,7604
2017-02-01T04:00+00:00,145,0.2,0.5,968.9,0.0,0.1,6305
2017-02-01T04:00+00:00,5925,0.6,-2.2,999.7,0.0,1.2,
2017-02-01T04:00+00:00,12322,0.1,0.6,,0.0,0.3,
2017-02-01T05:00+00:00,1,0.0,-1.8,927.1,0.0,0.4,10200
2017-02-01T05:00+00:00,15,0.2,4.5,965.7,0.0,1.9,11104
2017-02-01T05:00+00:00,30,0.0,-3.6,974.8,0.0,0.8,16412
2017-02-01T05:00+00:00,39,0.0,1.8,946.5,0.0,1.8,11803
2017-02-01T05:00+00:00,48,0.0,-0.1,965.1,0.0,0.6,20212
2017-02-01T05:00+00:00,56,0.0,-1.9,989.1,0.0,0.7,3202
2017-02-01T05:00+00:00,93,0.0,-4.0,989.0,0.0,0.5,5609
2017-02-01T05:00+00:00,105,0.0,-2.9,996.2,0.0,0.5,5904
2017-02-01T05:00+00:00,112,0.0,-4.7,987.3,0.0,1.7,7604
2017-02-01T05:00+00:00,145,0.0,0.5,968.7,0.0,0.2,6305
2017-02-01T05:00+00:00,5925,0.0,-1.9,1000.1,0.0,1.5,
2017-02-01T05:00+00:00,12322,0.4,0.4,,0.0,0.1,
2017-02-01T06:00+00:00,1,0.0,-1.3,927.7,0.0,0.5,10200
2017-02-01T06:00+00:00,15,0.3,4.0,965.8,0.0,1.4,11104
2017-02-01T06:00+00:00,30,0.0,-3.4,975.2,0.0,0.4,16412
2017-02-01T06:00+00:00,39,0.0,1.7,946.7,0.0,1.9,11803
2017-02-01T06:00+00:00,48,0.0,-0.2,965.4,0.0,0.4,20212
2017-02-01T06:00+00:00,56,0.0,-1.8,989.3,0.0,0.4,3202
2017-02-01T06:00+00:00,93,0.0,-3.9,989.2,0.0,0.6,5609
